"","country","acronym","id","prop_diff_mean","prop_diff_sd","dec_diff_mean","dec_diff_sd","dir_diff_mean","dir_diff_sd","pres_diff_mean","pres_diff_sd"
"1","Argentina","ARG",1,-0.09,0.43,1.99,0.59,0.7,0.98,-0.47,0.78
"2","Australia","AUS",2,-0.56,0.43,1.49,0.48,-0.41,0.94,0.14,0.72
"3","Austria","AUT",3,0.13,0.43,0.98,0.35,-0.3,0.87,0.17,0.78
"4","Bahamas","BHS",4,-1.33,0.5,-0.3,0.49,-0.33,0.9,0.13,0.82
"5","Barbados","BRB",5,-1.43,0.49,-0.28,0.57,-0.41,0.9,-0.2,0.66
"6","Belgium","BEL",6,2.55,0.67,0.92,0.39,-0.4,0.96,-0.17,0.67
"7","Benin","BEN",7,1.59,0.64,-0.87,0.67,0.7,1.02,-0.51,0.72
"8","Botswana","BWA",8,-1.48,0.5,-0.17,0.56,-0.34,0.86,0.35,0.78
"9","Bulgaria","BGR",9,0.01,0.39,-0.32,0.59,-0.26,0.87,0.39,0.75
"10","Canada","CAN",10,-0.52,0.44,1.54,0.55,-0.34,0.86,-0.63,0.85
"11","Cape Verde","CPV",11,-0.79,0.44,-0.8,0.68,0.24,0.64,-0.02,0.74
"12","Chile","CHL",12,0.8,0.46,-0.09,0.57,0.65,1.06,-0.01,0.69
"13","Costa Rica","CRI",13,-0.26,0.45,-0.16,0.54,0.59,0.95,-0.21,0.69
"14","Croatia","HRV",14,-0.07,0.47,-0.31,0.54,-0.43,0.89,0.22,0.81
"15","Czech Republic","CZE",15,0.59,0.43,-0.02,0.49,-0.32,0.88,-0.43,0.77
"16","Denmark","DNK",16,0.95,0.45,-0.54,0.64,-0.31,0.95,0.11,0.72
"17","Dominican Republic","DOM",17,-0.67,0.53,-0.1,0.53,0.66,1.07,-0.16,0.72
"18","El Salvador","SLV",18,-0.08,0.47,-0.76,0.69,0.65,1,-0.11,0.7
"19","Estonia","EST",19,0.76,0.42,-0.28,0.56,-0.3,0.83,-0.26,0.75
"20","Finland","FIN",20,1.25,0.48,-0.68,0.64,0.2,0.68,-0.46,0.86
"21","France","FRA",21,-0.25,0.5,0.18,0.41,0.23,0.7,-0.25,0.78
"22","Germany","DEU",22,0.29,0.41,1.55,0.5,-0.36,0.89,-0.16,0.73
"23","Ghana","GHA",23,-0.84,0.49,-0.74,0.65,0.67,0.98,0.26,0.77
"24","Greece","GRC",24,-0.52,0.51,-0.89,0.62,-0.41,0.89,-0.15,0.77
"25","Hungary","HUN",25,-0.24,0.5,0.1,0.46,0.29,0.73,0.97,0.87
"26","Iceland","ISL",26,0.47,0.42,-1.17,0.82,-0.39,0.85,-0.06,0.73
"27","India","IND",27,0.87,0.46,1.27,0.42,-0.37,0.84,-0.13,0.72
"28","Ireland","IRL",28,-0.06,0.44,-0.36,0.56,-0.35,0.91,0.4,0.76
"29","Israel","ISR",29,1.71,0.51,0.55,0.31,-0.37,0.85,-0.14,0.74
"30","Italy","ITA",30,0.89,0.45,0.16,0.43,-0.29,0.95,1.34,1.03
"31","Jamaica","JAM",31,-1.29,0.46,-0.34,0.6,-0.33,0.91,-0.21,0.74
"32","Japan","JPN",32,-0.38,0.48,0.19,0.47,-0.41,0.85,-0.09,0.77
"33","Korea","KOR",33,-0.43,0.45,-0.18,0.52,0.66,1,-0.2,0.73
"34","Latvia","LVA",34,1.05,0.48,-0.22,0.52,-0.38,0.86,0.86,0.88
"35","Lithuania","LTU",35,0.63,0.43,-0.25,0.58,0.18,0.7,1.6,1.14
"36","Luxembourg","LUX",36,0.34,0.43,-0.86,0.73,-0.34,0.89,-0.39,0.73
"37","Mali","MLI",37,-0.41,0.6,-0.7,0.64,0.24,0.68,-0.2,0.74
