"","cname","year","ccode","ccodealp","id","eper","cab","elec","par","exeleg","fed","dec","bic","jud","const","dir","pres","exepar8110","feduni8110","gtm_centrip","gdp","ppi","poli"
"26","Argentina",1990,32,"ARG",1,1,1,6.93,2.59,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,2.5,3503.3101,0.5,7
"25","Argentina",1991,32,"ARG",1,1,1,6.93,2.59,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,2.5,4195.48,0.5,7
"18","Argentina",1992,32,"ARG",1,2,1,6.88,2.87,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,2.5,4902.7998,0.5,7
"15","Argentina",1993,32,"ARG",1,2,1,6.88,2.87,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,2.5,5681.7202,0.5,7
"24","Argentina",1994,32,"ARG",1,3,1,6.37,2.77,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,2.5,6698.98,0.5,7
"1","Argentina",1995,32,"ARG",1,3,1,6.37,2.77,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,2.5,7505.7598,0.5,7
"21","Argentina",1996,32,"ARG",1,4,1,8.44,2.83,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,2.5,9766.8896,0.5,7
"13","Argentina",1997,32,"ARG",1,4,1,8.44,2.83,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,2.5,9952.5703,0.5,7
"11","Argentina",1998,32,"ARG",1,5,1,3.4,3.3,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,2.5,9886.6104,0.5,7
"12","Argentina",1999,32,"ARG",1,5,1,3.4,3.3,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,2.5,9222.3096,0.5,8
"14","Argentina",2000,32,"ARG",1,6,1,6.98,2.55,0.57,3,39.1060905456543,4,3,3,-1,3,-1.01,1.34,2.5,9053.9404,0.5,8
"6","Argentina",2001,32,"ARG",1,6,1,6.98,2.55,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,NA,8612.6602,0.5,8
"2","Argentina",2002,32,"ARG",1,7,1,11.31,2.84,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,NA,7402.7002,0.5,8
"8","Argentina",2003,32,"ARG",1,7,1,11.31,2.84,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,NA,8068.4199,0.5,8
"19","Argentina",2004,32,"ARG",1,8,1,8.21,3.92,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,NA,8794.29,0.5,8
"23","Argentina",2005,32,"ARG",1,8,1,8.21,3.92,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,NA,9701.8604,0.5,8
"22","Argentina",2006,32,"ARG",1,9,1,7.32,5.32,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,NA,10726.71,0.5,8
"5","Argentina",2007,32,"ARG",1,9,1,7.32,5.32,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,NA,11776.18,0.5,8
"16","Argentina",2008,32,"ARG",1,10,1,12.71,2.89,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,NA,12511.48,0.5,8
"9","Argentina",2009,32,"ARG",1,10,1,12.71,2.89,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,NA,12813.06,0.5,8
"20","Argentina",2010,32,"ARG",1,11,1,5.21,3.59,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,NA,13933.29,0.5,8
"10","Argentina",2011,32,"ARG",1,11,1,5.21,3.59,0.57,3,NA,4,3,3,-1,3,-1.01,1.34,NA,15102.61,0.5,8
