"","cname","year","ccode","ccodealp","id","eper","cab","elec","par","exeleg","fed","dec","bic","jud","const","dir","pres"
"26","Argentina",1990,32,"ARG",1,1,1,6.93,2.59,0.57,3,NA,4,3,3,-1,3
"25","Argentina",1991,32,"ARG",1,1,1,6.93,2.59,0.57,3,NA,4,3,3,-1,3
"18","Argentina",1992,32,"ARG",1,2,1,6.88,2.87,0.57,3,NA,4,3,3,-1,3
"15","Argentina",1993,32,"ARG",1,2,1,6.88,2.87,0.57,3,NA,4,3,3,-1,3
"24","Argentina",1994,32,"ARG",1,3,1,6.37,2.77,0.57,3,NA,4,3,3,-1,3
"1","Argentina",1995,32,"ARG",1,3,1,6.37,2.77,0.57,3,NA,4,3,3,-1,3
"21","Argentina",1996,32,"ARG",1,4,1,8.44,2.83,0.57,3,NA,4,3,3,-1,3
"13","Argentina",1997,32,"ARG",1,4,1,8.44,2.83,0.57,3,NA,4,3,3,-1,3
"11","Argentina",1998,32,"ARG",1,5,1,3.4,3.3,0.57,3,NA,4,3,3,-1,3
"12","Argentina",1999,32,"ARG",1,5,1,3.4,3.3,0.57,3,NA,4,3,3,-1,3
"14","Argentina",2000,32,"ARG",1,6,1,6.98,2.55,0.57,3,39.1060905456543,4,3,3,-1,3
"6","Argentina",2001,32,"ARG",1,6,1,6.98,2.55,0.57,3,NA,4,3,3,-1,3
"2","Argentina",2002,32,"ARG",1,7,1,11.31,2.84,0.57,3,NA,4,3,3,-1,3
"8","Argentina",2003,32,"ARG",1,7,1,11.31,2.84,0.57,3,NA,4,3,3,-1,3
"19","Argentina",2004,32,"ARG",1,8,1,8.21,3.92,0.57,3,NA,4,3,3,-1,3
"23","Argentina",2005,32,"ARG",1,8,1,8.21,3.92,0.57,3,NA,4,3,3,-1,3
"22","Argentina",2006,32,"ARG",1,9,1,7.32,5.32,0.57,3,NA,4,3,3,-1,3
"5","Argentina",2007,32,"ARG",1,9,1,7.32,5.32,0.57,3,NA,4,3,3,-1,3
"16","Argentina",2008,32,"ARG",1,10,1,12.71,2.89,0.57,3,NA,4,3,3,-1,3
"9","Argentina",2009,32,"ARG",1,10,1,12.71,2.89,0.57,3,NA,4,3,3,-1,3
"20","Argentina",2010,32,"ARG",1,11,1,5.21,3.59,0.57,3,NA,4,3,3,-1,3
"10","Argentina",2011,32,"ARG",1,11,1,5.21,3.59,0.57,3,NA,4,3,3,-1,3
"17","Argentina",2012,32,"ARG",1,12,1,7.55,2.7,0.57,3,NA,4,3,3,-1,3
"3","Argentina",2013,32,"ARG",1,12,1,7.55,2.7,0.57,3,NA,4,3,3,-1,3
"4","Argentina",2014,32,"ARG",1,13,1,4.82,7.5,0.57,3,NA,4,3,3,-1,3
"7","Argentina",2015,NA,"ARG",1,13,1,4.82,7.5,0.57,3,NA,4,3,3,-1,3
"35","Australia",1990,36,"AUS",2,1,1,10.42,2.28,0.91,3,20.50386266,4,2,3,1.5,1
"31","Australia",1991,36,"AUS",2,2,1,12.48,2.35,0.91,3,22.45459549,4,2,3,1.5,1
"28","Australia",1992,36,"AUS",2,2,1,12.48,2.35,0.91,3,23.40453074,4,2,3,1.5,1
"49","Australia",1993,36,"AUS",2,2,1,12.48,2.35,0.91,3,24.08603018,4,2,3,1.5,1
"52","Australia",1994,36,"AUS",2,3,1,8.12,2.39,0.91,3,22.88060217,4,2,3,1.5,1
"39","Australia",1995,36,"AUS",2,3,1,8.12,2.39,0.91,3,22.47351386,4,2,3,1.5,1
"51","Australia",1996,36,"AUS",2,3,1,8.12,2.39,0.91,3,22.45252475,4,2,3,1.5,1
"42","Australia",1997,36,"AUS",2,4,4,10.97,2.62,0.91,3,22.30724514,4,2,3,1.5,1
"47","Australia",1998,36,"AUS",2,4,4,10.97,2.62,0.91,3,22.55056137,4,2,3,1.5,1
"30","Australia",1999,36,"AUS",2,5,2,10.87,2.48,0.91,3,22.28181993,4,2,3,1.5,1
"37","Australia",2000,36,"AUS",2,5,2,10.87,2.48,0.91,3,18.19964781,4,2,3,1.5,1
"34","Australia",2001,36,"AUS",2,5,2,10.87,2.48,0.91,3,18.39665274,4,2,3,1.5,1
"32","Australia",2002,36,"AUS",2,6,2,9.37,2.49,0.91,3,18.2934192,4,2,3,1.5,1
