cname	p1990	p1991	p1992	p1993	p1994	p1995	p1996	p1997	p1998	p1999	p2000	p2001	p2002	p2003	p2004	p2005	p2006	p2007	p2008	p2009	p2010	p2011	p2012	p2013	p2014	p2015
Argentina	2.59	2.59	2.87	2.87	2.77	2.77	2.83	2.83	3.30	3.30	2.55	2.55	2.84	2.84	3.92	3.92	5.32	5.32	2.89	2.89	3.59	3.59	2.70	2.70	7.50	7.50
Australia	2.28	2.35	2.35	2.35	2.39	2.39	2.39	2.62	2.62	2.48	2.48	2.48	2.49	2.49	2.49	2.44	2.44	2.44	2.25	2.25	2.25	2.92	2.92	2.92	3.23	3.23
Austria	2.63	2.99	2.99	2.99	2.99	3.73	3.49	3.49	3.49	3.49	3.41	3.41	3.41	2.88	2.88	2.88	2.88	3.38	3.38	4.24	4.24	4.24	4.24	4.24	4.59	4.59
Bahamas	1.97	1.97	1.97	1.79	1.79	1.79	1.79	1.79	1.34	1.34	1.34	1.34	1.34	1.79	1.79	1.79	1.79	1.79	1.97	1.97	1.97	1.97	1.97	1.57	1.57	1.57
Barbados	1.25	1.25	1.85	1.85	1.85	1.84	1.84	1.84	1.84	1.84	1.15	1.15	1.15	1.15	1.56	1.56	1.56	1.56	1.56	1.80	1.80	1.80	1.80	1.80	1.99	1.99
Belgium	7.13	7.13	8.41	8.41	8.41	8.41	8.03	8.03	8.03	8.03	9.05	9.05	9.05	9.05	7.03	7.03	7.03	7.03	7.91	7.91	7.91	8.42	8.42	8.42	8.42	7.82
Benin		8.83	8.83	8.83	8.83	8.83	6.68	6.68	6.68	6.68	4.70	4.70	4.70	4.70												
Botswana	1.19	1.19	1.19	1.19	1.19	1.78	1.78	1.78	1.78	1.78	1.42	1.42	1.42	1.42	1.42	1.56	1.56	1.56	1.56	1.56	1.56	1.56	1.56	1.56	1.56	1.95
Bulgaria		2.41	2.41	2.41	2.41	2.73	2.73	2.73	2.52	2.52	2.52	2.92	2.92	2.92	2.92	4.80	4.80	4.80	4.80	4.80	3.34	3.34	3.34	3.34	3.15	5.06
Canada	2.33	2.33	2.33	2.33	2.35	2.35	2.35	2.35	2.98	2.98	2.98	2.54	2.54	2.54	2.54	3.03	3.03	3.22	3.22	3.15	3.15	3.15	2.41	2.41	2.41	2.41
Cape Verde		1.70	1.70	1.70	1.70	1.70	3.15	3.15	3.15	3.15	3.15	3.15	2.07	2.07	2.07	2.07	2.07	2.05	2.05	2.05	2.05	2.05	2.10	2.10	2.10	2.10
